nodeid,name,parentnodeid,nodetype,nodeclass,parentrelation,context,identifier,description
java:238,ejb-context,java:240,concept,concept,subconcept of,java software programming,,ejb context: java software programming: web programming
java:239,ejb-ql,java:240,concept,concept,subconcept of,java software programming,,ejb ql: java software programming: web programming
java:240,ejbs,java:416,concept,concept,subconcept of,java software programming,,ejbs: java software programming: web programming
java:241,elastic-capacity,java:127,concept,concept,subconcept of,java software programming,,elastic capacity: java software programming: web programming
java:242,element,java:982,concept,concept,subconcept of,java software programming,,element: java software programming: web programming
java:243,encapsulation,java:610,concept,concept,subconcept of,java software programming,,encapsulation: java software programming: web programming
java:244,encrypted-column,java:133,concept,concept,subconcept of,java hibernate,,encrypted column: java hibernate: web programming
java:245,endpoints-skeleton-archetype,java:28,concept,concept,subconcept of,google appengine,,endpoints-skeleton-archetype: google appengine: web programming
java:246,entity-beans,java:240,concept,concept,subconcept of,java software programming,,entity beans: java software programming: web programming
java:247,enum,java:119,concept,concept,subconcept of,java software programming,,enum: java software programming: web programming
java:248,enumerator,java:413,concept,concept,subconcept of,java software programming,,enumerator: java software programming: web programming
java:249,equals,java:332,concept,concept,related,java software programming,,equals: java software programming: web programming
java:250,erlang,java:280,concept,concept,subconcept of,java software programming,,erlang: java software programming: web programming
java:251,esb,java:53,concept,concept,subconcept of,java software programming,,esb: java software programming: web programming
java:252,estimation,java:828,concept,concept,subconcept of,java software programming,,estimation: java software programming: web programming
java:253,exception,java:433,concept,concept,subconcept of,java software programming,,exception: java software programming: web programming
java:254,exception-handler,java:253,concept,concept,subconcept of,java software programming,,exception handler: java software programming: web programming
java:255,exponential,java:13,concept,concept,subconcept of,java software programming,,exponential: java software programming: web programming
java:256,extreme-programming,java:11,concept,concept,subconcept of,java software programming,,extreme programming: java software programming: web programming
java:257,f1-instance,java:277,concept,concept,subconcept of,google appengine,,f1 instance: google appengine: web programming
java:258,f2-instance,java:277,concept,concept,subconcept of,google appengine,,f2 instance: google appengine: web programming
java:259,f4-instance,java:277,concept,concept,subconcept of,google appengine,,f4 instance: google appengine: web programming
java:260,f4_1g-instance,java:277,concept,concept,subconcept of,google appengine,,f4_1g instance: google appengine: web programming
java:261,factory-method,java:212,concept,concept,subconcept of,java software programming,,factory method: java software programming: web programming
java:262,fetch-batch,java:266,concept,concept,subconcept of,java hibernate,,fetch batch: java hibernate: web programming
java:263,fetch-join,java:266,concept,concept,subconcept of,java hibernate,,fetch join: java hibernate: web programming
java:264,fetch-select,java:266,concept,concept,subconcept of,java hibernate,,fetch select: java hibernate: web programming
java:265,fetch-subselect,java:266,concept,concept,subconcept of,java hibernate,,fetch subselect: java hibernate: web programming
java:266,fetch-type,java:520,concept,concept,subconcept of,java hibernate,,fetch type: java hibernate: web programming
java:267,fields,java:119,concept,concept,subconcept of,java software programming,,fields: java software programming: web programming
java:268,final,java:581,concept,concept,subconcept of,java software programming,,final: java software programming: web programming
java:269,finalizer,java:283,concept,concept,related,java software programming,,finalizer: java software programming: web programming
java:270,finalizer,java:606,concept,concept,related,java software programming,,finalizer: java software programming: web programming
java:271,finally,java:929,concept,concept,subconcept of,java software programming,,finally: java software programming: web programming
java:272,fixed-thread-pool,java:910,concept,concept,subconcept of,java software programming,,fixed thread pool: java software programming: web programming
java:273,force.com,java:631,concept,concept,subconcept of,java software programming,,force.com: java software programming: web programming
java:274,fourth-generation-language,java:903,concept,concept,related,java software programming,,fourth generation language: java software programming: web programming
java:275,framework,java:440,concept,concept,subconcept of,java software programming,,framework: java software programming: web programming
java:276,free-quotas,java:712,concept,concept,subconcept of,google appengine,,free quotas: google appengine: web programming
java:277,frontend-instance-class,java:23,concept,concept,subconcept of,google appengine,,frontend instance class: google appengine: web programming
java:278,frontend-instance-class,java:26,concept,concept,subconcept of,google appengine,,frontend instance class: google appengine: web programming
java:279,frontend-server,java:29,concept,concept,subconcept of,google appengine,,frontend server: google appengine: web programming
java:280,functional-programming,java:682,concept,concept,subconcept of,java software programming,,functional programming: java software programming: web programming
java:281,gae-sdk-plugin,java:560,concept,concept,subconcept of,java software programming,,gae sdk plugin: java software programming: web programming
java:282,gangoffour,java:212,concept,concept,subconcept of,java software programming,,gangoffour: java software programming: web programming
java:283,garbage-collector,java:566,concept,concept,subconcept of,java software programming,,garbage collector: java software programming: web programming
java:284,generalization,java:722,concept,concept,subconcept of,java software programming,,generalization: java software programming: web programming
java:285,generalization,java:861,concept,concept,subconcept of,java software programming,,generalization: java software programming: web programming
java:286,generational-garbage-collector,java:283,concept,concept,subconcept of,java software programming,,generational garbage collector: java software programming: web programming
java:287,generics,java:680,concept,concept,subconcept of,java software programming,,generics: java software programming: web programming
java:288,git,java:944,concept,concept,subconcept of,java software programming,,git: java software programming: web programming
java:289,git,java:944,concept,concept,subconcept of,java git version control,,git: java git version control: web programming
java:290,git-blame,java:298,concept,concept,subconcept of,java git version control,,git blame: java git version control: web programming
java:291,git-branch,java:302,concept,concept,subconcept of,java git version control,,git branch: java git version control: web programming
java:292,git-checkout,java:298,concept,concept,subconcept of,java git version control,,git checkout: java git version control: web programming
java:293,git-clone,java:726,concept,concept,subconcept of,java git version control,,git clone: java git version control: web programming
java:294,git-commit,java:973,concept,concept,subconcept of,java git version control,,git commit: java git version control: web programming
java:295,git-create,java:536,concept,concept,subconcept of,java git version control,,git create: java git version control: web programming
java:296,git-merge,java:298,concept,concept,subconcept of,java git version control,,git merge: java git version control: web programming
java:297,git-origin,java:302,concept,concept,subconcept of,java git version control,,git origin: java git version control: web programming
java:298,git-process,java:288,concept,concept,subconcept of,java git version control,,git process: java git version control: web programming
java:299,git-pull,java:298,concept,concept,subconcept of,java git version control,,git pull: java git version control: web programming
java:300,git-push,java:298,concept,concept,subconcept of,java git version control,,git push: java git version control: web programming
java:301,git-rebase,java:298,concept,concept,subconcept of,java git version control,,git rebase: java git version control: web programming
java:302,git-repository,java:288,concept,concept,subconcept of,java git version control,,git repository: java git version control: web programming
java:303,git-reset,java:298,concept,concept,subconcept of,java git version control,,git reset: java git version control: web programming
java:304,git-revert,java:298,concept,concept,subconcept of,java git version control,,git revert: java git version control: web programming
java:305,git-tag,java:302,concept,concept,subconcept of,java git version control,,git tag: java git version control: web programming
java:306,github,java:726,concept,concept,subconcept of,java git version control,,github: java git version control: web programming
java:307,gmail,java:756,concept,concept,subconcept of,java software programming,,gmail: java software programming: web programming
java:308,go,java:388,concept,concept,subconcept of,java software programming,,go: java software programming: web programming
